No,image,text,context,modifier,gpt,gemini
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,TRUE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,FALSE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,FALSE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,TRUE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,FALSE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,FALSE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,FALSE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,TRUE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,FALSE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,FALSE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,TRUE,FALSE
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,TRUE,TRUE
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,TRUE,TRUE
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,FALSE,FALSE
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,TRUE,TRUE
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,FALSE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,FALSE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,TRUE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,FALSE,FALSE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,TRUE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,FALSE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,FALSE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,FALSE,FALSE
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,TRUE,TRUE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
4,image4-1.png,There are four candies in the boxes.,precise,bare,FALSE,FALSE
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,TRUE,TRUE
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,TRUE,TRUE
4,image4-2.png,There are four candies in the boxes.,approximate,bare,TRUE,FALSE
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,TRUE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,FALSE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,FALSE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,FALSE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,FALSE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,FALSE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,FALSE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
5,image5-1.png,There are four forks in the boxes.,precise,bare,TRUE,FALSE
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,TRUE,TRUE
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,TRUE,TRUE
5,image5-2.png,There are four forks in the boxes.,approximate,bare,TRUE,TRUE
5,image5-2.png,There are at least four forks in the boxes.,approximate,superlative,TRUE,TRUE
5,image5-2.png,There are more than three forks in the boxes.,approximate,comparative,TRUE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,TRUE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,TRUE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,TRUE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,TRUE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,TRUE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,TRUE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,FALSE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,FALSE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,FALSE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,TRUE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,TRUE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
6,image6-2.png,There are four knives in the boxes.,approximate,bare,FALSE,FALSE
6,image6-2.png,There are at least four knives in the boxes.,approximate,superlative,TRUE,TRUE
6,image6-2.png,There are more than three knives in the boxes.,approximate,comparative,FALSE,TRUE
6,image6-1.png,There are four knives in the boxes.,precise,bare,FALSE,FALSE
6,image6-1.png,There are at least four knives in the boxes.,precise,superlative,FALSE,TRUE
6,image6-1.png,There are more than three knives in the boxes.,precise,comparative,FALSE,TRUE
